locus_tag	baseMean	log2FoldChange	lfcSE	pvalue	padj
SAUSA300_RS01650	176.004776534509	-1.35972833620697	0.172417861468377	1.08355870883891e-15	2.12409376306215e-14
srn_4830_Sau6072	4637.23918468174	-0.171579783818862	0.0967222510582093	0.0742529279114854	0.179635486217804
SAUSA300_RS00025	711.176720572609	0.253367593992678	0.112343547915603	0.0231392136755946	0.068089562537677
SAUSA300_RS13755	12.0726325478356	0.311272075270532	0.475497664869315	0.44579627146056	0.65489928264647
srn_2370_Teg55	9.40240296974782	0.927483855236501	0.584252874688965	0.0510399226956085	0.133929560931587
SAUSA300_RS11035	17.4470277023301	0.183067976343684	0.430886491698972	0.633423597551674	0.798443173084049
SAUSA300_RS04705	79.2157547379962	-0.242427691462844	0.225197979403003	0.265927736874407	0.47138520379466
SAUSA300_RS05960	83.1767189865599	-0.00748020256420139	0.214010682881472	0.970140929272482	0.983046642888801
SAUSA300_RS01990	455.208418625151	-6.12024618940881	0.27939336918085	1.67615097930229e-106	3.72384875901659e-104
SAUSA300_RS14990	6.55526607370483	-0.886066936307894	0.690522788077192	0.0893040878652883	0.20775279079307
SAUSA300_RS01100	78.5936848535651	-0.661973067198356	0.236841833673829	0.00376023691573257	0.0139621053166338
SAUSA300_RS09055	521.462337294576	0.104663294094595	0.131322839334531	0.421516051242114	0.637776272764742
SAUSA300_RS10010	5.96619922680387	0.0125428378492582	0.585331576017446	0.979593679885578	0.987121937610735
SAUSA300_RS00925	111.90216738027	-2.17979553777934	0.244026868299466	7.4725446584302e-20	1.97245584746286e-18
SAUSA300_RS04340	8.47393560644965	-6.6399129190343	2.58211010272312	9.64073680108505e-07	6.90919470744429e-06
SAUSA300_RS03505	96.8116620940213	4.60529517484824	0.340836665824999	2.43833921907739e-42	1.41317659957833e-40
SAUSA300_RS07650	1.30561216565417	-1.19086553529829	1.80814352942217	0.0418691636876321	0.113438201617101
SAUSA300_RS00460	267.64935297941	0.0752021200761334	0.148845181097381	0.611426780756666	0.780681895353099
SAUSA300_RS01065	11.9496369220336	0.932568138644165	0.509645444907719	0.0325311962603856	0.0912928097159874
SAUSA300_RS02400	872.019868257246	-1.06984419897323	0.138222227234735	4.67231186021784e-15	8.65026626343108e-14
